t,u0,u1,y0,y1,yT0,yT1
0.428,1,0,0.00036811,4.8967e-05,0.00035884,8.9811e-05
0.43,1,0,0.00036666,4.8674e-05,0.00035907,5.2769e-05
0.432,1,0,0.00036524,4.8391e-05,0.00036977,4.555e-05
0.434,1,0,0.00036383,4.812e-05,0.00036585,5.1556e-05
0.436,1,0,0.00036244,4.7861e-05,0.00035189,4.1808e-05
0.438,1,0,0.00036106,4.7613e-05,0.0003407,4.7005e-05
0.44,1,0,0.00035971,4.7376e-05,0.00037399,5.9761e-05
0.442,1,0,0.00035838,4.7151e-05,0.00038684,4.4272e-05
0.444,1,0,0.00035706,4.6937e-05,0.00037977,6.5371e-05
0.446,1,0,0.00035577,4.6734e-05,0.00034615,9.7899e-06
0.448,1,0,0.00035449,4.6541e-05,0.00035672,5.3716e-05
0.45,1,0,0.00035324,4.636e-05,0.00034572,4.628e-05
0.452,1,0,0.00035201,4.6189e-05,0.00032585,4.0508e-05
0.454,1,0,0.0003508,4.603e-05,0.00034378,5.7286e-05
0.456,1,0,0.00034961,4.588e-05,0.00036516,4.2324e-05
0.458,1,0,0.00034845,4.5742e-05,0.00035015,4.8722e-05
0.46,1,0,0.00034731,4.5613e-05,0.00032963,4.9333e-05
0.462,1,0,0.00034619,4.5495e-05,0.00034247,7.221e-05
0.464,1,0,0.00034509,4.5387e-05,0.00034159,6.4707e-05
0.466,1,0,0.00034402,4.5289e-05,0.00035203,6.5116e-05
0.468,1,0,0.00034297,4.5201e-05,0.00032902,3.6021e-05
0.47,1,0,0.00034195,4.5122e-05,0.00035716,3.5869e-05
0.472,1,0,0.00034095,4.5054e-05,0.00034879,5.6544e-05
0.474,1,0,0.00033997,4.4994e-05,0.00033217,6.1801e-05
0.476,1,0,0.00033902,4.4944e-05,0.00034796,2.8875e-05
0.478,1,0,0.0003381,4.4904e-05,0.00034039,5.7071e-05
0.48,1,0,0.0003372,4.4872e-05,0.00031069,2.1773e-05
0.482,1,0,0.00033632,4.4849e-05,0.00035066,4.7381e-05
0.484,1,0,0.00033547,4.4835e-05,0.00031773,2.4307e-05
0.486,1,0,0.00033464,4.483e-05,0.00032622,5.9446e-05
0.488,1,0,0.00033384,4.4832e-05,0.00035218,4.6575e-05
0.49,1,0,0.00033307,4.4844e-05,0.00033581,6.9371e-05
0.492,1,0,0.00033232,4.4863e-05,0.00034293,5.1027e-05
0.494,1,0,0.0003316,4.489e-05,0.00030193,5.189e-05
0.496,1,0,0.0003309,4.4926e-05,0.00036407,2.7841e-05
0.498,1,0,0.00033022,4.4968e-05,0.00032717,1.8907e-05
0.5,1,0,0.00032957,4.5019e-05,0.00033523,5.109e-05
0.502,1,0,0.00032895,4.5076e-05,0.00030106,4.896e-05
0.504,1,0,0.00032835,4.5141e-05,0.0003014,2.2231e-05
0.506,1,0,0.00032778,4.5213e-05,0.00033195,3.406e-05
0.508,1,0,0.00032723,4.5291e-05,0.00031797,4.8891e-05
0.51,1,0,0.00032671,4.5376e-05,0.00033271,6.962e-05
0.512,1,0,0.00032621,4.5468e-05,0.00036125,5.7821e-05
0.514,1,0,0.00032574,4.5566e-05,0.00033171,5.4745e-05
0.516,1,0,0.00032529,4.567e-05,0.00033864,4.5307e-05
0.518,1,0,0.00032486,4.578e-05,0.00033541,5.0944e-05
0.52,1,0,0.00032446,4.5896e-05,0.00032432,5.5048e-05
0.522,1,0,0.00032408,4.6017e-05,0.00031418,5.5268e-05
0.524,1,0,0.00032373,4.6144e-05,0.00032582,4.3797e-05
0.526,1,0,0.0003234,4.6276e-05,0.00032911,5.963e-05
0.528,1,0,0.0003231,4.6414e-05,0.00033201,5.7153e-05
0.53,1,0,0.00032281,4.6556e-05,0.00030778,2.7578e-05
0.532,1,0,0.00032255,4.6703e-05,0.00032913,4.5966e-05
0.534,1,0,0.00032231,4.6854e-05,0.00033039,5.6596e-05
0.536,1,0,0.0003221,4.701e-05,0.00033465,5.0906e-05
